component,parameter,estimate,standard_error,z_value,p_value,confidence_low,confidence_high,significance
Other,Strongly.disagree.Somewhat.disagree,-2.8893878480997497,0.6914100902103107,-4.178978422517475,2.9282146322288384e-5,-4.244526723459549,-1.534248972739951,***
Other,Somewhat.disagree.Neither.agree.nor.disagree,-1.485999689549325,0.498142927437243,-2.983078967304086,0.0028536435712569457,-2.4623418864796704,-0.5096574926189795,**
Other,Neither.agree.nor.disagree.Somewhat.agree,0.5086606566447688,0.4497419724416673,1.1310055271986947,0.25805276506866365,-0.3728174116769044,1.3901387249664419,
Other,Somewhat.agree.Strongly.agree,2.852574840353106,0.7291338033717317,3.9122789632876036,9.142920959291904e-5,1.4234988458338027,4.281650834872409,***
Other,prior_ai_experienceMinimal.experience,-0.29180412428205793,0.5360327988544317,-0.5443773681492614,0.5861818164485288,-1.3424091045689468,0.7588008560048309,
Other,prior_ai_experienceSome.experience,0.924678636639373,0.6104656920711857,1.5147102427691337,0.1298457993553663,-0.2718121336174696,2.1211694068962155,
Other,prior_ai_experienceExtensive.experience,4.807250669917573,1.9785080462332623,2.4297352133946326,0.01510985708852872,0.9294461561776717,8.685055183657473,*
Location effect,ai_awareness_score,1.3511782186394887,0.3600475233481672,3.752777428031062,1.748861191691998e-4,0.645498040154237,2.0568583971247403,***
Location effect,feedback_experience_half_point,0.6693600476182169,0.25433623691395046,2.6317918977651673,0.00849358702296084,0.17087018330342746,1.1678499119330064,**
Other,ai_awareness_score.1,0.2581709867179622,0.11998518700989383,2.1516904974000974,0.031421739071155363,0.0230043415002672,0.49333763193565716,*
