feedback_experience_half_point,ai_awareness_score,predicted_probability,SE,df,confidence_low,confidence_high,ai_awareness,feedback_experience
-1.5999999999999996,0,0.28730994304539575,0.08204934912409505,Inf,0.12649617380721648,0.44812371228357506,Not aware at all,4
-1.0999999999999996,0,0.34235309229204214,0.0798027581987172,Inf,0.18594256035559795,0.4987636242284863,Not aware at all,4.25
-0.5999999999999996,0,0.40461421545854226,0.07638402622790745,Inf,0.2549042750576808,0.5543241558594036,Not aware at all,4.5
-0.09999999999999964,0,0.47241707724532533,0.07519919632030958,Inf,0.3250293607911616,0.619804793699489,Not aware at all,4.75
0.40000000000000036,0,0.5432800776281597,0.07922741933464239,Inf,0.3879971891442083,0.6985629661121111,Not aware at all,5
-1.5999999999999996,1,0.5441215460782224,0.07502449259447455,Inf,0.3970762426346603,0.6911668495217844,Somewhat aware,4
-1.0999999999999996,1,0.6008774191336035,0.05942535718276556,Inf,0.4844058592869544,0.7173489789802525,Somewhat aware,4.25
-0.5999999999999996,1,0.6558711368332013,0.04683198739652168,Inf,0.5640821282115851,0.7476601454548175,Somewhat aware,4.5
-0.09999999999999964,1,0.7076757439569058,0.04021660363202975,Inf,0.6288526492576048,0.7864988386562068,Somewhat aware,4.75
0.40000000000000036,1,0.7551629808449544,0.03998960113420905,Inf,0.6767848028657826,0.8335411588241262,Somewhat aware,5
-1.5999999999999996,2,0.714216202542404,0.05815973868587819,Inf,0.6002252093678219,0.8282071957169862,Fully aware,4
-1.0999999999999996,2,0.7514123218109272,0.04660683635516167,Inf,0.6600646011214584,0.842760042500396,Fully aware,4.25
-0.5999999999999996,2,0.7854403654142064,0.03852457156671791,Inf,0.7099335926236034,0.8609471382048093,Fully aware,4.5
-0.09999999999999964,2,0.8161254483142776,0.0340878822530611,Inf,0.7493144267890358,0.8829364698395193,Fully aware,4.75
0.40000000000000036,2,0.8434340349994385,0.03251053176716842,Inf,0.7797145636175431,0.9071535063813339,Fully aware,5
